Sedan/Saloon
Pickup
Truck-Tractor
Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV)
Coupe
Cargo Van
Incomplete - Chassis Cab (Number of Cab Unknown)
Van
Convertible/Cabriolet
Hatchback/Liftback/Notchback
Bus - School Bus
Truck
Incomplete - School Bus Chassis
Minivan
Motorcycle - Custom
Crossover Utility Vehicle (CUV)
Sport Utility Truck (SUT)
Motorcycle - Dual Sport / Adventure / Supermoto / On/Off-road
Off-road Vehicle - Farm Equipment
Motorcycle - Cruiser
Motorcycle - Touring / Sport Touring
Off-road Vehicle - Recreational Off-Road Vehicle (ROV)
Motorcycle - Street
Motorcycle - Standard
Incomplete - Motor Home Chassis
Incomplete - Glider
Off-road Vehicle - All Terrain Vehicle (ATV) (Motorcycle-style)
Incomplete - Chassis Cab (Single Cab)
Motorcycle - Sport
Incomplete - Cutaway
Incomplete - Commercial Chassis
Motorcycle - Scooter
Wagon
Motorcycle - Unknown Body Class
Motorcycle - Trike
"Off-road Vehicle - Motocross (Off-road short distance, closed track racing)"
Bus
Incomplete - Stripped Chassis
Roadster
Step Van / Walk-in Van
Motorized Bicycle
Off-road Vehicle - Golf Cart
Off-road Vehicle - Enduro (Off-road long distance racing)
Motorcycle - Unenclosed Three Wheeled / Open Autocycle
Motorcycle - Side Car
Off-road Vehicle - Dirt Bike / Off-Road
Motorcycle - Small / Minibike
Off-road Vehicle - Construction Equipment
Motorcycle - Competition
Incomplete - Bus Chassis
Off-road Vehicle - Go Kart
Low Speed Vehicle (LSV) / Neighborhood Electric Vehicle (NEV)
Motorcycle - Moped
Incomplete - Commercial Bus Chassis
Limousine
Off-road Vehicle - Snowmobile
Motorhome
Incomplete - Chassis Cab (Double Cab)
