Acura
Alfa Romeo
AM General
American IronHorse Motorcycles
American LaFrance
American SportWorks
Apollo
Aprilia
Arctic Cat
Aston Martin
Audi
Autocar
BAODIAO
Benelli
Bentley
Big Dog Motorcycles
Blue Bird
BMS
BMW
Boss Hoss
BRP
Buell
Buick
BYC
BYD
Cadillac
California Motorcycle Company (CMC)
CAN-AM
Caterpillar
CCC
CHANGSHU LIGHT MOTORCYCLE FACTORY
Changzhou Yamasaki Motorcycle Co.
Chevrolet
Chongqing Astronautic Bashan
Chongqing Huansong Industries
"Chongqing Zongshen Automotive Industry Co., Ltd."
Chrysler
Chunfeng Holding Group Hangzhou Motorcycles
CIXI KINGRING MOTORCYCLE CO
CLASSIC MC
Club Car
COLEMAN CUSTOM CHOPPERS
Columbia
Country Coach
Crane Carrier
Daewoo
Daix
Datsun
Dodge
DONGFANG
Ducati
E-TON
Eagle
Excalibur Automobile Corporation
Excelsior-Henderson Motorcycles
EZ GO
EZGO
Fiat
Ford
Freightliner
Geely
Genesis
Genuine Scooters
Geo
Gillig
Global Motorsport Group
GMC
"GUANGZHOU PANYU HUANAN MOTORS GROUP CO., LTD."
Harley Davidson
Hino
HME Inc.
Honda
Hummer
Husqvarna
Hyosung Motors & Machinery
Hyundai
IC Bus
Icon
Indian Motorcycle
Infiniti
International
Isuzu
Jaguar
Jeep
Jiajue
"JIANGMEN ZHONGYU MOTOR (GROUP) CO., LTD."
JLG
John Deere
Kandi
Kawasaki
KAYO
Kenworth
Kia
Kovatch Mobile Equipment
KTM
KTMMEX
Kubota
KYMCO
Lamborghini
Lance
Land Rover
Lexus
LIFAN INDUSTRY
Lincoln
Linhai
Loncin
Mack
Mahindra
Maserati
Mazda
McLaren
Mercedes-Benz
Mercury
MINI
Mitsubishi
Mitsubishi Fuso
Moto Guzzi
Motor Coach Industries
Motorized HandleBar
MV Agusta Motor
NABI
Navistar
New Flyer
Nissan
Not Reported
NovaBUS
Oldsmobile
Orion Bus
Oshkosh
Other
Peterbilt
Piaggio and Vespa
Pierce Manufacturing
Plymouth
Polaris
Pontiac
Porsche
Precision Cycle Works
Prevost
Pro-Street Frameworks
Qingqi
Qipai
Ram
Red Horse Motorworks
Roadmaster
Rolls Royce
SAAB
SACIN
Safari Motor Coaches
Saturn
Savage Cycles
SEAGRAVE
SHANGHAI JMSTAR MOTORCYCLE
Slingshot
smart
Spartan Motors Chassis
SPYDER
SSR
Sterling Truck
Studebaker Motor Company
Subaru
Suzuki
SYM
"Taizhou City Kaitong Motorcycle Manufacture Co.,Ltd"
TAOTAO
Terex Advance Mixer
Tesla
TEYIN
Thomas Built
Thoroughbred Motorsports INC
Thunder Mountain Custom Cycles
TITAN
TMC
Tomberlin
Toyota
Triumph
UD
Ultra Acquisition Corporation
UM Motorcycles
United Motors of America
Unknown
URAL
USA Motortoys
"V-8 CHOPPERS, L.L.C."
Van Hool
Vectrix SP. Z.O.O.
Victory
Volkswagen
Volvo
Volvo Truck
Western Star
WHITEGMC
Winnebago
Workhorse
Yamaha
YIBEN
Yongfu
ZERO MOTORCYCLES
ZHEJIANG JMSTAR SHENKE MOTORCYCLE CO
ZHEJIANG LEIKE MACHINE INDUSTRY CO
ZHEJIANG RIYA MOTORCYCLE CO
ZHEJIANG TAIZHOU WANGYE POWER CO
ZHEJIANG XINGYUE VEHICLE CO
ZHWEKI
ZIGGY
ZNEN
"Zongshen Industrial Group Co., LTD."
